ANO_OCORRENCIA;MES_OCORRENCIA;UF;MUNICIPIO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;TIPO_OCORRENCIA;MAIS_1000_MIL_HAB;TOTAL
2025;01;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recupera��o de Arma de Fogo                                               ;S;1
2025;01;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Recupera��o de Arma de Fogo                                               ;S;1
2025;01;BA;IBICARA�                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;01;BA;JEQUI�                             ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;JEQUI�                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;JEQUI�                             ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;JEREMOABO                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;01;BA;MANOEL VITORINO                    ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito                                                    ;N;2
2025;01;BA;SALVADOR                           ;Espingarda                                        ;PARDUS                                                                ;12                                                ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Recupera��o de Arma de Fogo                                               ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Recupera��o de Arma de Fogo                                               ;S;2
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;BA;SALVADOR                           ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apostilada no Exercito                                                    ;S;1
2025;01;BA;SERRINHA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;01;BA;SERRINHA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Recupera��o de Arma de Fogo                                               ;N;1
2025;01;BA;SERROL�NDIA                        ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;01;BA;VIT�RIA DA CONQUISTA               ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;Apostilada no Exercito                                                    ;S;1
2025;01;CE;CANIND�                            ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apostilada no Exercito                                                    ;N;1
2025;01;CE;CASCAVEL                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Campanha do Desarmamento                                                  ;N;1
2025;01;CE;CRATE�S                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito                                                    ;N;1
2025;01;CE;CRATE�S                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Recupera��o de Arma de Fogo                                               ;N;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito                                                    ;S;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Roubo de Arma de Fogo                                                     ;S;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito                                                    ;S;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recupera��o de Arma de Fogo                                               ;S;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.45                                               ;Furto de Arma de Fogo                                                     ;S;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;7,65mm                                            ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;CE;FORTALEZA                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;CE;HORIZONTE                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apostilada no Exercito                                                    ;N;1
2025;01;CE;HORIZONTE                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Recupera��o de Arma de Fogo                                               ;N;1
2025;01;CE;IRAU�UBA                           ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;Recupera��o de Arma de Fogo                                               ;N;1
2025;01;CE;JUAZEIRO DO NORTE                  ;Pistola                                           ;IMBEL                                                                 ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;CE;JUAZEIRO DO NORTE                  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Recupera��o de Arma de Fogo                                               ;S;1
2025;01;CE;MARACANA�                          ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;01;CE;MORADA NOVA                        ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Campanha do Desarmamento                                                  ;N;1
2025;01;CE;QUIXAD�                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;01;CE;RUSSAS                             ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Campanha do Desarmamento                                                  ;N;1
2025;01;CE;RUSSAS                             ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Campanha do Desarmamento                                                  ;N;1
2025;01;CE;RUSSAS                             ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apostilada no Exercito                                                    ;N;1
2025;01;CE;RUSSAS                             ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Recupera��o de Arma de Fogo                                               ;N;1
2025;01;CE;SOBRAL                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito                                                    ;S;1
2025;01;CE;SOBRAL                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recupera��o de Arma de Fogo                                               ;S;1
2025;01;DF;BRAS�LIA                           ;Espingarda                                        ;MAVERICK (BY MOSSBERG)                                                ;12                                                ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;DF;BRAS�LIA                           ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;28                                                ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;DF;BRAS�LIA                           ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;28                                                ;Furto de Arma de Fogo                                                     ;S;1
2025;01;DF;BRAS�LIA                           ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;Recupera��o de Arma de Fogo                                               ;S;1
2025;01;DF;BRAS�LIA                           ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;9x19mm                                            ;Apreens�o de Arma de Fogo                                                 ;S;3
2025;01;DF;BRAS�LIA                           ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;9x19mm                                            ;Recupera��o de Arma de Fogo                                               ;S;1
2025;01;DF;BRAS�LIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;S;2
2025;01;DF;BRAS�LIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Campanha do Desarmamento                                                  ;S;2
2025;01;DF;BRAS�LIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Recupera��o de Arma de Fogo                                               ;S;4
2025;01;DF;BRAS�LIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;DF;BRAS�LIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Apreens�o de Arma de Fogo                                                 ;S;2
2025;01;DF;BRAS�LIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;7,65mm                                            ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;DF;BRAS�LIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreens�o de Arma de Fogo                                                 ;S;4
2025;01;DF;BRAS�LIA                           ;Pistolao                                          ;IMBEL                                                                 ;28                                                ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;DF;BRAS�LIA                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;S;3
2025;01;DF;BRAS�LIA                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Campanha do Desarmamento                                                  ;S;2
2025;01;DF;BRAS�LIA                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;01;DF;BRAS�LIA                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Apreens�o de Arma de Fogo                                                 ;S;2
2025;01;DF;BRAS�LIA                           ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.17                                               ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;ES;ARACRUZ                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Apreens�o de Arma de Fogo                                                 ;S;2
2025;01;ES;BARRA DE S�O FRANCISCO             ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Campanha do Desarmamento                                                  ;N;1
2025;01;ES;BOA ESPERAN�A                      ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Roubo de Arma de Fogo                                                     ;N;1
2025;01;ES;CACHOEIRO DE ITAPEMIRIM            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recupera��o de Arma de Fogo                                               ;S;1
2025;01;ES;CACHOEIRO DE ITAPEMIRIM            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;2
2025;01;ES;CACHOEIRO DE ITAPEMIRIM            ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Recupera��o de Arma de Fogo                                               ;S;1
2025;01;ES;CARIACICA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreens�o de Arma de Fogo                                                 ;S;2
2025;01;ES;CARIACICA                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Furto de Arma de Fogo                                                     ;S;1
2025;01;ES;COLATINA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;ES;JAGUAR�                            ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;01;ES;JAGUAR�                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recupera��o de Arma de Fogo                                               ;N;1
2025;01;ES;JAGUAR�                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;22LR/22MAG                                        ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;01;ES;LINHARES                           ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;Recupera��o de Arma de Fogo                                               ;S;1
2025;01;ES;PI�MA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;01;ES;SERRA                              ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.45                                               ;Furto de Arma de Fogo                                                     ;S;1
2025;01;ES;SERRA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;ES;SERRA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreens�o de Arma de Fogo                                                 ;S;3
2025;01;ES;SERRA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Campanha do Desarmamento                                                  ;S;1
2025;01;ES;SERRA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;ES;S�O DOMINGOS DO NORTE              ;Pistola                                           ;IMBEL                                                                 ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;01;ES;S�O GABRIEL DA PALHA               ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;01;ES;S�O MATEUS                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;ES;S�O MATEUS                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;ES;VILA VELHA                         ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;9x19mm                                            ;Campanha do Desarmamento                                                  ;S;1
2025;01;ES;VILA VELHA                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito                                                    ;S;1
2025;01;ES;VIT�RIA                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;ES;VIT�RIA                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;ES;VIT�RIA                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Roubo de Arma de Fogo                                                     ;S;1
2025;01;GO;ALEX�NIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;01;GO;AN�POLIS                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apostilada no Exercito                                                    ;S;1
2025;01;GO;AN�POLIS                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Campanha do Desarmamento                                                  ;S;2
2025;01;GO;AN�POLIS                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Furto de Arma de Fogo                                                     ;S;1
2025;01;GO;CALDAS NOVAS                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;01;GO;COCALZINHO DE GOI�S                ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;01;GO;GOIATUBA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;N;1
2025;01;GO;GOI�NIA                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;S;3
2025;01;GO;GOI�NIA                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;01;GO;GOI�NIA                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;01;GO;GOI�NIA                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Furto de Arma de Fogo                                                     ;S;1
2025;01;GO;GOI�NIA                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;S;6
2025;01;GO;GOI�NIA                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;01;GO;ITABERA�                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;01;GO;JARAGU�                            ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;Furto de Arma de Fogo                                                     ;N;1
2025;01;GO;JATA�                              ;Carabina                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.357 Mag                                          ;Apostilada no Exercito                                                    ;S;1
2025;01;GO;JATA�                              ;Carabina/Fuzil                                    ;TAURUS ARMAS S.A.                                                     ;5,56x45mm                                         ;Recupera��o de Arma de Fogo                                               ;S;1
